494,2,2016-05-04,2,3,17,8,-10.444444444444445,NULL,NULL,-8,NULL,NULL
504,2,2016-05-04,2,4,21,8,-12.88888888888889,NULL,NULL,-12.5,NULL,NULL
469,3,2016-05-04,2,1,23,13,-9.555555555555557,55,NULL,-7.300000000000001,14.363636363636363,NULL
479,3,2016-05-04,2,2,23,12,-10,59,NULL,-8.5,21.545454545454547,NULL
489,3,2016-05-04,2,3,18,7,-12.666666666666666,64,NULL,-8,26.545454545454547,NULL
499,3,2016-05-04,2,4,23,10,-12.333333333333334,50,NULL,-10,20.90909090909091,NULL
1402,4,2016-05-04,2,1,23,10.5,NULL,55,NULL,NULL,NULL,NULL
1487,4,2016-05-04,2,2,22.5,10,NULL,59,NULL,NULL,NULL,NULL
1537,4,2016-05-04,2,3,17.5,7.5,NULL,64,NULL,NULL,NULL,NULL
1587,4,2016-05-04,2,4,22,9,NULL,50,NULL,NULL,NULL,NULL
475,2,2016-05-04,3,1,22,10,-11.545454545454545,NULL,NULL,-9,NULL,NULL
485,2,2016-05-04,3,2,22,12,-8.363636363636363,NULL,NULL,-8.857142857142858,NULL,NULL
495,2,2016-05-04,3,3,18,8,-12.909090909090908,NULL,NULL,-8.428571428571429,NULL,NULL
505,2,2016-05-04,3,4,21,10,-13.181818181818182,NULL,NULL,-9.714285714285714,NULL,NULL
470,3,2016-05-04,3,1,22,14,-9.090909090909092,59,NULL,-5.357142857142857,8.222222222222221,NULL
480,3,2016-05-04,3,2,23,13,-8.181818181818182,55,NULL,-5.428571428571429,9.333333333333334,NULL
490,3,2016-05-04,3,3,19,7,-14.181818181818182,62,NULL,-7.428571428571429,22.333333333333332,NULL
500,3,2016-05-04,3,4,24,11,-12.909090909090908,47,NULL,-7.571428571428571,18,NULL
1403,4,2016-05-04,3,1,22,12,NULL,59,NULL,NULL,NULL,NULL
1488,4,2016-05-04,3,2,22.5,12.5,NULL,55,NULL,NULL,NULL,NULL
1538,4,2016-05-04,3,3,18.5,7.5,NULL,62,NULL,NULL,NULL,NULL
1588,4,2016-05-04,3,4,22.5,10.5,NULL,47,NULL,NULL,NULL,NULL
476,2,2016-05-04,4,1,22,11,-9,NULL,NULL,-7.142857142857143,NULL,NULL
486,2,2016-05-04,4,2,23,12,-9.818181818181818,NULL,NULL,-8.833333333333334,NULL,NULL
496,2,2016-05-04,4,3,19,8,-12.363636363636363,NULL,NULL,-9.714285714285714,NULL,NULL
506,2,2016-05-04,4,4,22,11,-9.636363636363637,NULL,NULL,-8.714285714285714,NULL,NULL
471,3,2016-05-04,4,1,22,14,-8.436363636363637,63,NULL,-4.328571428571428,4.333333333333333,NULL
481,3,2016-05-04,4,2,24,14,-7.909090909090909,60,NULL,-3.2857142857142856,11.722222222222221,NULL
491,3,2016-05-04,4,3,20,9,-12.818181818181818,61,NULL,-5.714285714285714,20.77777777777778,NULL
